task_id,asset_id,department,task_type,maintenance_type,section_id,location_code,description,reported_date,due_date,estimated_duration_min,status,criticality,urgency,operational_impact,can_be_rescheduled,priority_score,priority_category,required_block_type,is_overdue,source_defect_id,base_priority_score,priority_source,priority_override_reason
TASK_000091,AST_000037,ENGINEERING,INSPECTION,INSPECTION,SEC_007,LOC_008,Synthetic turnout maintenance activity,2026-09-04,2026-09-11,180,CANCELLED,81.9,94.8,61.4,FALSE,72.46,HIGH,TRAFFIC_BLOCK,FALSE,,72.46,RULE_BASED,
TASK_000092,AST_000044,TRD,REPAIR,REPAIR,SEC_004,LOC_004,Synthetic substation maintenance activity,2026-08-06,2026-10-05,60,CANCELLED,56.3,59.8,25.7,FALSE,44.07,MEDIUM,POWER_BLOCK,FALSE,DEF_000063,44.07,RULE_BASED,
TASK_000093,AST_000001,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_001,LOC_001,Synthetic culvert maintenance activity,2026-09-09,2026-09-16,120,SCHEDULED,50.3,100.0,55.3,TRUE,61.43,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000300,61.43,RULE_BASED,
TASK_000094,AST_000008,TRD,TESTING,TESTING,SEC_008,LOC_008,Synthetic feeder maintenance activity,2026-05-18,2026-09-20,180,PENDING,88.0,100.0,51.0,TRUE,73.55,HIGH,POWER_BLOCK,FALSE,DEF_000187,73.55,RULE_BASED,
TASK_000095,AST_000015,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_005,LOC_005,Synthetic relay maintenance activity,2026-03-05,2026-09-20,60,COMPLETED,53.9,100.0,25.2,FALSE,55.16,MEDIUM,SIGNAL_BLOCK,FALSE,,55.16,RULE_BASED,
TASK_000096,AST_000022,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_002,LOC_002,Synthetic turnout maintenance activity,2026-06-16,2026-10-24,45,SCHEDULED,76.5,24.0,19.7,TRUE,38.9,LOW,TRAFFIC_BLOCK,FALSE,DEF_000261,38.9,RULE_BASED,
TASK_000097,AST_000029,TRD,INSPECTION,INSPECTION,SEC_009,LOC_010,Synthetic switching_equipment maintenance activity,2026-06-02,2026-09-19,30,COMPLETED,88.2,42.6,45.7,FALSE,55.08,MEDIUM,POWER_BLOCK,FALSE,,55.08,RULE_BASED,
TASK_000098,AST_000036,S&T,REPAIR,REPAIR,SEC_006,LOC_007,Synthetic signal maintenance activity,2026-09-11,2026-10-21,90,IN_PROGRESS,78.2,0.0,65.1,FALSE,43.64,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000285,43.64,RULE_BASED,
TASK_000099,AST_000043,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_003,LOC_004,Synthetic turnout maintenance activity,2026-07-19,2026-10-27,180,PENDING,70.1,100.0,35.2,TRUE,63.33,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000272,63.33,RULE_BASED,
TASK_000100,AST_000050,TRD,TESTING,TESTING,SEC_010,LOC_005,Synthetic feeder maintenance activity,2026-03-09,2026-09-26,30,PENDING,88.2,35.6,35.5,TRUE,50.42,MEDIUM,POWER_BLOCK,FALSE,,50.42,RULE_BASED,
TASK_000101,AST_000007,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_007,LOC_008,Synthetic turnout maintenance activity,2026-03-15,2026-10-27,120,IN_PROGRESS,52.8,0.0,44.0,FALSE,29.48,LOW,TRAFFIC_BLOCK,FALSE,,29.48,RULE_BASED,
TASK_000102,AST_000014,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_004,LOC_005,Synthetic feeder maintenance activity,2026-02-21,2026-09-03,75,CANCELLED,44.4,100.0,45.0,FALSE,66.79,HIGH,POWER_BLOCK,TRUE,,66.79,RULE_BASED,
TASK_000103,AST_000021,S&T,INSPECTION,INSPECTION,SEC_001,LOC_001,Synthetic signal maintenance activity,2026-06-07,2026-10-19,90,COMPLETED,42.9,19.2,26.8,FALSE,27.48,LOW,SIGNAL_BLOCK,FALSE,,27.48,RULE_BASED,
TASK_000104,AST_000028,ENGINEERING,REPAIR,REPAIR,SEC_008,LOC_009,Synthetic culvert maintenance activity,2026-04-20,2026-10-17,120,PENDING,49.5,0.0,60.1,TRUE,32.35,LOW,TRAFFIC_BLOCK,FALSE,DEF_000057,32.35,RULE_BASED,
TASK_000105,AST_000035,TRD,REPLACEMENT,REPLACEMENT,SEC_005,LOC_006,Synthetic isolator maintenance activity,2026-07-28,2026-10-10,150,PENDING,84.2,15.2,71.0,TRUE,51.78,MEDIUM,POWER_BLOCK,FALSE,DEF_000144,51.78,RULE_BASED,
TASK_000106,AST_000042,S&T,TESTING,TESTING,SEC_002,LOC_002,Synthetic interlocking_equipment maintenance activity,2026-08-15,2026-08-31,30,COMPLETED,44.5,81.6,60.9,FALSE,65.28,HIGH,SIGNAL_BLOCK,TRUE,DEF_000231,65.28,RULE_BASED,
TASK_000107,AST_000049,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_009,LOC_010,Synthetic turnout maintenance activity,2026-08-12,2026-08-19,60,PENDING,67.6,100.0,28.8,TRUE,70.86,HIGH,TRAFFIC_BLOCK,TRUE,,70.86,RULE_BASED,
TASK_000108,AST_000006,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_006,LOC_007,Synthetic relay maintenance activity,2026-08-26,2026-10-10,60,PENDING,94.3,100.0,41.6,TRUE,73.4,HIGH,SIGNAL_BLOCK,FALSE,,73.4,RULE_BASED,
TASK_000109,AST_000013,ENGINEERING,INSPECTION,INSPECTION,SEC_003,LOC_004,Synthetic bridge maintenance activity,2026-03-11,2026-10-26,90,SCHEDULED,54.3,0.0,41.4,TRUE,29.35,LOW,TRAFFIC_BLOCK,FALSE,,29.35,RULE_BASED,
TASK_000110,AST_000020,TRD,REPAIR,REPAIR,SEC_010,LOC_005,Synthetic isolator maintenance activity,2026-04-28,2026-08-07,120,IN_PROGRESS,63.2,100.0,27.8,FALSE,69.07,HIGH,POWER_BLOCK,TRUE,,69.07,RULE_BASED,
TASK_000111,AST_000027,S&T,REPLACEMENT,REPLACEMENT,SEC_007,LOC_007,Synthetic point_machine maintenance activity,2026-07-30,2026-10-03,45,COMPLETED,50.8,87.2,61.1,FALSE,59.22,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000066,59.22,RULE_BASED,
TASK_000112,AST_000034,ENGINEERING,TESTING,TESTING,SEC_004,LOC_004,Synthetic culvert maintenance activity,2026-08-08,2026-09-03,150,SCHEDULED,82.4,100.0,48.3,TRUE,80.92,CRITICAL,TRAFFIC_BLOCK,TRUE,DEF_000103,80.92,RULE_BASED,
TASK_000113,AST_000041,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_001,LOC_001,Synthetic feeder maintenance activity,2026-02-18,2026-10-01,150,COMPLETED,89.8,97.0,52.7,FALSE,73.7,HIGH,POWER_BLOCK,FALSE,,73.7,RULE_BASED,
TASK_000114,AST_000048,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_008,LOC_009,Synthetic signal maintenance activity,2026-09-06,2026-10-17,60,SCHEDULED,56.3,100.0,40.0,TRUE,59.7,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000077,59.7,RULE_BASED,
TASK_000115,AST_000005,TRD,INSPECTION,INSPECTION,SEC_005,LOC_006,Synthetic ohe maintenance activity,2026-08-08,2026-10-10,180,SCHEDULED,56.6,36.9,23.2,TRUE,36.68,LOW,POWER_BLOCK,FALSE,,36.68,RULE_BASED,
TASK_000116,AST_000012,S&T,REPAIR,REPAIR,SEC_002,LOC_002,Synthetic track_circuit maintenance activity,2026-04-24,2026-08-31,90,PENDING,62.0,90.1,39.8,TRUE,68.68,HIGH,SIGNAL_BLOCK,TRUE,DEF_000001,68.68,RULE_BASED,
TASK_000117,AST_000019,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_009,LOC_009,Synthetic bridge maintenance activity,2026-03-10,2026-10-11,240,COMPLETED,79.6,0.0,59.2,FALSE,42.66,MEDIUM,TRAFFIC_BLOCK,FALSE,,42.66,RULE_BASED,
TASK_000118,AST_000026,TRD,TESTING,TESTING,SEC_006,LOC_006,Synthetic isolator maintenance activity,2026-04-06,2026-10-10,150,SCHEDULED,79.3,48.1,23.6,TRUE,48.08,MEDIUM,POWER_BLOCK,FALSE,DEF_000225,48.08,RULE_BASED,
TASK_000119,AST_000033,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_003,LOC_003,Synthetic track_circuit maintenance activity,2026-06-12,2026-10-26,30,CANCELLED,80.7,100.0,43.2,FALSE,69.04,HIGH,SIGNAL_BLOCK,FALSE,,69.04,RULE_BASED,
TASK_000120,AST_000040,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_010,LOC_005,Synthetic track maintenance activity,2026-04-19,2026-10-01,180,PENDING,49.9,100.0,42.3,TRUE,58.04,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000099,58.04,RULE_BASED,
TASK_000121,AST_000047,TRD,INSPECTION,INSPECTION,SEC_007,LOC_008,Synthetic substation maintenance activity,2026-03-30,2026-10-03,30,COMPLETED,84.5,59.7,53.8,FALSE,60.94,MEDIUM,POWER_BLOCK,FALSE,,60.94,RULE_BASED,
TASK_000122,AST_000004,ENGINEERING,REPAIR,REPAIR,SEC_004,LOC_005,Synthetic turnout maintenance activity,2026-07-22,2026-10-24,120,PENDING,87.4,0.0,50.4,TRUE,43.19,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000123,43.19,RULE_BASED,
TASK_000123,AST_000011,TRD,REPLACEMENT,REPLACEMENT,SEC_001,LOC_002,Synthetic switching_equipment maintenance activity,2026-08-18,2026-10-01,90,COMPLETED,69.6,97.1,34.1,FALSE,62.01,MEDIUM,POWER_BLOCK,FALSE,DEF_000210,62.01,RULE_BASED,
TASK_000124,AST_000018,S&T,TESTING,TESTING,SEC_008,LOC_009,Synthetic interlocking_equipment maintenance activity,2026-06-20,2026-09-07,60,IN_PROGRESS,94.2,54.8,55.7,FALSE,73.33,HIGH,SIGNAL_BLOCK,TRUE,DEF_000197,73.33,RULE_BASED,
TASK_000125,AST_000025,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_005,LOC_006,Synthetic turnout maintenance activity,2026-07-04,2026-08-26,45,PENDING,94.7,82.2,39.7,TRUE,77.73,HIGH,TRAFFIC_BLOCK,TRUE,,77.73,RULE_BASED,
TASK_000126,AST_000032,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_002,LOC_002,Synthetic substation maintenance activity,2026-07-19,2026-09-28,150,PENDING,72.1,71.6,28.3,TRUE,53.79,MEDIUM,POWER_BLOCK,FALSE,DEF_000221,53.79,RULE_BASED,
TASK_000127,AST_000039,S&T,INSPECTION,INSPECTION,SEC_009,LOC_010,Synthetic signal maintenance activity,2026-07-16,2026-10-09,120,SCHEDULED,91.8,59.0,71.2,TRUE,67.63,HIGH,SIGNAL_BLOCK,FALSE,,67.63,RULE_BASED,
TASK_000128,AST_000046,ENGINEERING,REPAIR,REPAIR,SEC_006,LOC_007,Synthetic turnout maintenance activity,2026-03-21,2026-10-22,150,IN_PROGRESS,52.0,0.0,50.5,FALSE,30.82,LOW,TRAFFIC_BLOCK,FALSE,DEF_000295,30.82,RULE_BASED,
TASK_000129,AST_000003,S&T,REPLACEMENT,REPLACEMENT,SEC_003,LOC_004,Synthetic relay maintenance activity,2026-07-03,2026-10-21,30,PENDING,55.7,100.0,25.3,TRUE,55.82,MEDIUM,SIGNAL_BLOCK,FALSE,,55.82,RULE_BASED,
TASK_000130,AST_000010,ENGINEERING,TESTING,TESTING,SEC_010,LOC_011,Synthetic points maintenance activity,2026-07-05,2026-08-29,180,PENDING,83.3,95.4,74.7,TRUE,86.45,CRITICAL,TRAFFIC_BLOCK,TRUE,,86.45,RULE_BASED,
TASK_000131,AST_000017,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_007,LOC_007,Synthetic substation maintenance activity,2026-02-24,2026-08-29,180,IN_PROGRESS,66.6,74.9,17.4,FALSE,60.13,MEDIUM,POWER_BLOCK,TRUE,,60.13,RULE_BASED,
TASK_000132,AST_000024,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_004,LOC_005,Synthetic interlocking_equipment maintenance activity,2026-03-23,2026-10-24,75,PENDING,66.7,0.0,22.1,TRUE,28.87,LOW,SIGNAL_BLOCK,FALSE,DEF_000143,28.87,RULE_BASED,
TASK_000133,AST_000031,ENGINEERING,INSPECTION,INSPECTION,SEC_001,LOC_002,Synthetic turnout maintenance activity,2026-04-23,2026-10-17,60,PENDING,40.4,30.4,28.8,TRUE,30.46,LOW,TRAFFIC_BLOCK,FALSE,,30.46,RULE_BASED,
TASK_000134,AST_000038,TRD,REPAIR,REPAIR,SEC_008,LOC_008,Synthetic switching_equipment maintenance activity,2026-09-02,2026-09-09,150,SCHEDULED,95.1,75.6,40.1,TRUE,75.99,HIGH,POWER_BLOCK,TRUE,DEF_000067,75.99,RULE_BASED,
TASK_000135,AST_000045,S&T,REPLACEMENT,REPLACEMENT,SEC_005,LOC_006,Synthetic signal maintenance activity,2026-08-07,2026-09-21,75,COMPLETED,42.3,100.0,21.1,FALSE,50.08,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000104,50.08,RULE_BASED,
TASK_000136,AST_000002,TRD,TESTING,TESTING,SEC_002,LOC_002,Synthetic isolator maintenance activity,2026-04-09,2026-09-28,30,COMPLETED,63.8,84.8,30.3,FALSE,55.34,MEDIUM,POWER_BLOCK,FALSE,DEF_000141,55.34,RULE_BASED,
TASK_000137,AST_000009,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_009,LOC_010,Synthetic point_machine maintenance activity,2026-02-28,2026-10-10,45,PENDING,89.0,0.7,53.9,TRUE,44.84,MEDIUM,SIGNAL_BLOCK,FALSE,,44.84,RULE_BASED,
TASK_000138,AST_000016,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_006,LOC_006,Synthetic bridge maintenance activity,2026-05-07,2026-10-28,150,COMPLETED,55.3,0.0,25.1,FALSE,25.63,LOW,TRAFFIC_BLOCK,FALSE,DEF_000265,25.63,RULE_BASED,
TASK_000139,AST_000023,TRD,INSPECTION,INSPECTION,SEC_003,LOC_003,Synthetic feeder maintenance activity,2026-04-14,2026-10-21,45,PENDING,55.6,24.5,60.7,TRUE,41.98,MEDIUM,POWER_BLOCK,FALSE,,41.98,RULE_BASED,
TASK_000140,AST_000030,S&T,REPAIR,REPAIR,SEC_010,LOC_005,Synthetic track_circuit maintenance activity,2026-06-24,2026-08-29,150,IN_PROGRESS,88.6,100.0,21.4,FALSE,76.36,HIGH,SIGNAL_BLOCK,TRUE,DEF_000089,76.36,RULE_BASED,
TASK_000141,AST_000037,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_007,LOC_008,Synthetic turnout maintenance activity,2026-07-06,2026-09-11,30,PENDING,81.9,100.0,53.2,TRUE,71.96,HIGH,TRAFFIC_BLOCK,FALSE,DEF_000026,71.96,RULE_BASED,
TASK_000142,AST_000044,TRD,TESTING,TESTING,SEC_004,LOC_004,Synthetic substation maintenance activity,2026-01-21,2026-10-01,90,COMPLETED,56.3,27.7,21.4,FALSE,33.36,LOW,POWER_BLOCK,FALSE,,33.36,RULE_BASED,
TASK_000143,AST_000001,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_001,LOC_001,Synthetic culvert maintenance activity,2026-03-28,2026-10-17,45,SCHEDULED,50.3,68.9,59.7,TRUE,53.2,MEDIUM,TRAFFIC_BLOCK,FALSE,,53.2,RULE_BASED,
TASK_000144,AST_000008,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_008,LOC_008,Synthetic feeder maintenance activity,2026-09-12,2026-09-19,240,SCHEDULED,88.0,100.0,39.3,TRUE,70.62,HIGH,POWER_BLOCK,FALSE,DEF_000287,70.62,RULE_BASED,
TASK_000145,AST_000015,S&T,INSPECTION,INSPECTION,SEC_005,LOC_005,Synthetic relay maintenance activity,2026-07-21,2026-07-31,75,CANCELLED,53.9,100.0,26.0,FALSE,65.36,HIGH,SIGNAL_BLOCK,TRUE,,65.36,RULE_BASED,
TASK_000146,AST_000022,ENGINEERING,REPAIR,REPAIR,SEC_002,LOC_002,Synthetic turnout maintenance activity,2026-07-17,2026-10-20,180,PENDING,76.5,0.0,24.2,TRUE,32.82,LOW,TRAFFIC_BLOCK,FALSE,DEF_000061,32.82,RULE_BASED,
TASK_000147,AST_000029,TRD,REPLACEMENT,REPLACEMENT,SEC_009,LOC_010,Synthetic switching_equipment maintenance activity,2026-03-23,2026-09-21,150,COMPLETED,88.2,42.6,48.2,FALSE,55.7,MEDIUM,POWER_BLOCK,FALSE,,55.7,RULE_BASED,
TASK_000148,AST_000036,S&T,TESTING,TESTING,SEC_006,LOC_007,Synthetic signal maintenance activity,2026-08-23,2026-10-21,60,PENDING,78.2,93.3,73.9,TRUE,73.84,HIGH,SIGNAL_BLOCK,FALSE,DEF_000185,73.84,RULE_BASED,
TASK_000149,AST_000043,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_003,LOC_004,Synthetic turnout maintenance activity,2026-05-11,2026-09-17,150,PENDING,70.1,50.4,44.2,TRUE,50.7,MEDIUM,TRAFFIC_BLOCK,FALSE,,50.7,RULE_BASED,
TASK_000150,AST_000050,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_010,LOC_005,Synthetic feeder maintenance activity,2026-04-11,2026-09-26,180,COMPLETED,88.2,26.1,35.4,FALSE,47.55,MEDIUM,POWER_BLOCK,FALSE,,47.55,RULE_BASED,
TASK_000151,AST_000007,ENGINEERING,INSPECTION,INSPECTION,SEC_007,LOC_008,Synthetic turnout maintenance activity,2026-06-29,2026-08-03,150,COMPLETED,52.8,100.0,44.3,FALSE,69.55,HIGH,TRAFFIC_BLOCK,TRUE,,69.55,RULE_BASED,
TASK_000152,AST_000014,TRD,REPAIR,REPAIR,SEC_004,LOC_005,Synthetic feeder maintenance activity,2026-04-15,2026-10-07,240,COMPLETED,44.4,6.1,58.4,FALSE,31.97,LOW,POWER_BLOCK,FALSE,DEF_000083,31.97,RULE_BASED,
TASK_000153,AST_000021,S&T,REPLACEMENT,REPLACEMENT,SEC_001,LOC_001,Synthetic signal maintenance activity,2026-06-26,2026-10-03,75,CANCELLED,42.9,15.0,23.4,FALSE,25.36,LOW,SIGNAL_BLOCK,FALSE,DEF_000270,25.36,RULE_BASED,
TASK_000154,AST_000028,ENGINEERING,TESTING,TESTING,SEC_008,LOC_009,Synthetic culvert maintenance activity,2026-04-20,2026-10-17,150,COMPLETED,49.5,94.8,55.1,FALSE,59.54,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000057,59.54,RULE_BASED,
TASK_000155,AST_000035,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_005,LOC_006,Synthetic isolator maintenance activity,2026-09-01,2026-10-10,30,PENDING,84.2,18.4,76.8,TRUE,54.19,MEDIUM,POWER_BLOCK,FALSE,,54.19,RULE_BASED,
TASK_000156,AST_000042,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_002,LOC_002,Synthetic interlocking_equipment maintenance activity,2026-08-28,2026-10-20,60,COMPLETED,44.5,100.0,61.0,FALSE,60.82,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000081,60.82,RULE_BASED,
TASK_000157,AST_000049,ENGINEERING,INSPECTION,INSPECTION,SEC_009,LOC_010,Synthetic turnout maintenance activity,2026-05-16,2026-09-30,75,PENDING,67.6,19.7,27.1,TRUE,36.34,LOW,TRAFFIC_BLOCK,FALSE,,36.34,RULE_BASED,
TASK_000158,AST_000006,S&T,REPAIR,REPAIR,SEC_006,LOC_007,Synthetic relay maintenance activity,2026-07-24,2026-10-21,60,CANCELLED,94.3,100.0,49.2,FALSE,75.3,HIGH,SIGNAL_BLOCK,FALSE,DEF_000255,75.3,RULE_BASED,
TASK_000159,AST_000013,ENGINEERING,REPLACEMENT,REPLACEMENT,SEC_003,LOC_004,Synthetic bridge maintenance activity,2026-06-12,2026-09-17,120,COMPLETED,54.3,47.5,38.0,FALSE,42.76,MEDIUM,TRAFFIC_BLOCK,FALSE,DEF_000142,42.76,RULE_BASED,
TASK_000160,AST_000020,TRD,TESTING,TESTING,SEC_010,LOC_005,Synthetic isolator maintenance activity,2026-06-27,2026-10-17,60,COMPLETED,63.2,100.0,24.9,FALSE,58.35,MEDIUM,POWER_BLOCK,FALSE,DEF_000229,58.35,RULE_BASED,
TASK_000161,AST_000027,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_007,LOC_007,Synthetic point_machine maintenance activity,2026-03-22,2026-09-10,90,IN_PROGRESS,50.8,55.0,50.0,FALSE,56.78,MEDIUM,SIGNAL_BLOCK,TRUE,,56.78,RULE_BASED,
TASK_000162,AST_000034,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_004,LOC_004,Synthetic culvert maintenance activity,2026-05-28,2026-09-03,120,COMPLETED,82.4,100.0,54.2,FALSE,82.39,CRITICAL,TRAFFIC_BLOCK,TRUE,DEF_000253,82.39,RULE_BASED,
TASK_000163,AST_000041,TRD,INSPECTION,INSPECTION,SEC_001,LOC_001,Synthetic feeder maintenance activity,2026-02-02,2026-10-16,60,PENDING,89.8,0.0,61.0,TRUE,46.68,MEDIUM,POWER_BLOCK,FALSE,,46.68,RULE_BASED,
TASK_000164,AST_000048,S&T,REPAIR,REPAIR,SEC_008,LOC_009,Synthetic signal maintenance activity,2026-09-06,2026-10-17,90,SCHEDULED,56.3,10.9,40.2,TRUE,33.02,LOW,SIGNAL_BLOCK,FALSE,DEF_000077,33.02,RULE_BASED,
TASK_000165,AST_000005,TRD,REPLACEMENT,REPLACEMENT,SEC_005,LOC_006,Synthetic ohe maintenance activity,2026-07-26,2026-09-09,45,SCHEDULED,56.6,68.1,19.7,TRUE,55.16,MEDIUM,POWER_BLOCK,TRUE,DEF_000064,55.16,RULE_BASED,
TASK_000166,AST_000012,S&T,TESTING,TESTING,SEC_002,LOC_002,Synthetic track_circuit maintenance activity,2026-06-25,2026-09-30,120,CANCELLED,62.0,14.2,45.8,FALSE,37.41,LOW,SIGNAL_BLOCK,FALSE,DEF_000001,37.41,RULE_BASED,
TASK_000167,AST_000019,ENGINEERING,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_009,LOC_009,Synthetic bridge maintenance activity,2026-05-30,2026-09-04,90,CANCELLED,79.6,73.8,55.7,FALSE,73.92,HIGH,TRAFFIC_BLOCK,TRUE,,73.92,RULE_BASED,
TASK_000168,AST_000026,TRD,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_006,LOC_006,Synthetic isolator maintenance activity,2026-04-02,2026-09-07,120,PENDING,79.3,58.3,21.3,TRUE,60.57,MEDIUM,POWER_BLOCK,TRUE,DEF_000225,60.57,RULE_BASED,
TASK_000169,AST_000033,S&T,INSPECTION,INSPECTION,SEC_003,LOC_003,Synthetic track_circuit maintenance activity,2026-03-21,2026-10-09,90,PENDING,80.7,7.2,43.4,TRUE,41.26,MEDIUM,SIGNAL_BLOCK,FALSE,,41.26,RULE_BASED,
TASK_000170,AST_000040,ENGINEERING,REPAIR,REPAIR,SEC_010,LOC_005,Synthetic track maintenance activity,2026-05-03,2026-10-28,75,PENDING,49.9,0.0,53.3,TRUE,30.79,LOW,TRAFFIC_BLOCK,FALSE,,30.79,RULE_BASED,
TASK_000171,AST_000047,TRD,REPLACEMENT,REPLACEMENT,SEC_007,LOC_008,Synthetic substation maintenance activity,2026-07-22,2026-10-15,45,PENDING,84.5,89.5,64.4,TRUE,72.53,HIGH,POWER_BLOCK,FALSE,DEF_000186,72.53,RULE_BASED,
TASK_000172,AST_000004,ENGINEERING,TESTING,TESTING,SEC_004,LOC_005,Synthetic turnout maintenance activity,2026-07-08,2026-10-24,240,CANCELLED,87.4,100.0,52.4,FALSE,73.69,HIGH,TRAFFIC_BLOCK,FALSE,DEF_000123,73.69,RULE_BASED,
TASK_000173,AST_000011,TRD,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_001,LOC_002,Synthetic switching_equipment maintenance activity,2026-02-08,2026-10-10,90,PENDING,69.6,11.8,42.5,TRUE,38.52,LOW,POWER_BLOCK,FALSE,,38.52,RULE_BASED,
TASK_000174,AST_000018,S&T,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_008,LOC_009,Synthetic interlocking_equipment maintenance activity,2026-05-25,2026-10-17,120,IN_PROGRESS,94.2,17.0,54.3,FALSE,51.64,MEDIUM,SIGNAL_BLOCK,FALSE,DEF_000297,51.64,RULE_BASED,
TASK_000175,AST_000025,ENGINEERING,INSPECTION,INSPECTION,SEC_005,LOC_006,Synthetic turnout maintenance activity,2026-08-16,2026-09-09,180,PENDING,94.7,100.0,40.4,TRUE,83.24,CRITICAL,TRAFFIC_BLOCK,TRUE,,83.24,RULE_BASED,
TASK_000176,AST_000032,TRD,REPAIR,REPAIR,SEC_002,LOC_002,Synthetic substation maintenance activity,2026-02-28,2026-09-30,240,PENDING,72.1,40.6,26.1,TRUE,43.94,MEDIUM,POWER_BLOCK,FALSE,,43.94,RULE_BASED,
TASK_000177,AST_000039,S&T,REPLACEMENT,REPLACEMENT,SEC_009,LOC_010,Synthetic signal maintenance activity,2026-04-19,2026-09-04,240,PENDING,91.8,98.8,66.3,TRUE,88.34,CRITICAL,SIGNAL_BLOCK,TRUE,DEF_000008,88.34,RULE_BASED,
TASK_000178,AST_000046,ENGINEERING,TESTING,TESTING,SEC_006,LOC_007,Synthetic turnout maintenance activity,2026-03-30,2026-10-14,90,SCHEDULED,52.0,0.0,53.9,TRUE,31.67,LOW,TRAFFIC_BLOCK,FALSE,,31.67,RULE_BASED,
TASK_000179,AST_000003,S&T,PREVENTIVE_MAINTENANCE,PREVENTIVE_MAINTENANCE,SEC_003,LOC_004,Synthetic relay maintenance activity,2026-03-28,2026-10-09,30,PENDING,55.7,13.9,14.9,TRUE,27.39,LOW,SIGNAL_BLOCK,FALSE,,27.39,RULE_BASED,
TASK_000180,AST_000010,ENGINEERING,CORRECTIVE_MAINTENANCE,CORRECTIVE_MAINTENANCE,SEC_010,LOC_011,Synthetic points maintenance activity,2026-04-23,2026-10-28,75,IN_PROGRESS,83.3,81.6,81.5,FALSE,74.01,HIGH,TRAFFIC_BLOCK,FALSE,DEF_000169,74.01,RULE_BASED,
TASK_000181,AST_000017,TRD,INSPECTION,INSPECTION,SEC_007,LOC_007,Synthetic substation maintenance activity,2026-08-17,2026-10-15,90,COMPLETED,66.6,100.0,27.9,FALSE,60.28,MEDIUM,POWER_BLOCK,FALSE,,60.28,RULE_BASED,
TASK_000182,AST_000024,S&T,REPAIR,REPAIR,SEC_004,LOC_005,Synthetic interlocking_equipment maintenance activity,2026-05-31,2026-09-02,60,PENDING,66.7,78.6,20.7,TRUE,62.1,MEDIUM,SIGNAL_BLOCK,TRUE,DEF_000143,62.1,RULE_BASED,
